group_review,id_revue,issn_p,issn_e
G1,777,1161-2770,2100-9864
G1,778,0752-6180,2101-0145
G1,779,0984-2292,2101-0137
G1,780,0151-0193,2101-0218
G1,781,1298-6216,2101-0269
G1,782,2555-5111,2608-1008
G1,782,1287-7352,2102-5169
G1,783,0075-966X,2101-0234
G1,784,1621-5338,1950-604X
G1,785,2269-7195,2271-734X
G1,785,1490-4756,
G1,786,1768-5958,1969-6574
G1,787,0025-8296,1760-8538
G1,788,0029-182X,1760-8546
G1,789,2031-9703,2032-0043
G1,790,0373-2630,2105-2883
G1,791,1628-0482,2101-003X
G1,792,0048-8143,2033-0138
G1,793,2262-8401,2430-3275
G1,793,1260-1705,2105-2662
G1,794,1951-0187,2105-3022
G1,796,1262-2966,2104-404X
G1,803,1147-7423,3000-0513
G1,803,0013-0494,2801-0620
G1,808,0047-4800,1958-5926
G2,811,0291-4700,2102-5940
G2,811,2111-8779,2802-2262
G2,813,0044-8613,2104-3655
G2,814,0013-0559,2105-2581
G2,814,1146-9374,2263-3138
G2,815,0300-953X,1760-7256
G2,816,1145-3370,2101-0420
G2,818,0221-8852,2102-5401
G2,819,0750-8069,1638-1580
G2,820,1156-0428,2114-2203
G2,820,0249-7476,2801-9695
G2,824,0303-7495,2076-5827
G2,825,0943-8254,2823-6114
G2,827,0752-5443,2104-371X
G2,829,0754-5010,2108-7105
G2,830,0076-230X,2173-1306
G2,836,1147-6753,2272-9828
G2,836,0008-0152,2437-220X
G2,836,0184-7694,2437-2323
G2,837,0373-5478,2109-9529
G2,838,0253-1623,2077-4079
G2,839,1277-6874,1775-4348
G2,840,1767-9397,1775-4356
G2,841,1422-4658,
G2,842,0759-6340,2107-0946
G2,843,1276-3780,2109-9545
G2,844,1260-5921,2107-0954
G2,845,0184-7732,2107-0857
G2,846,0020-0093,1777-5876
G2,847,1967-2055,2109-9553
G2,848,1254-7700,2118-3376
G2,849,1156-8992,1965-0787
G2,850,2101-647X,2102-6408
G2,851,1376-0971,2118-4852
G2,852,1763-4229,2111-4390
G2,853,0016-4119,2109-9588
G2,854,0016-4127,2109-9642
G2,855,0556-7807,2105-2913
G2,856,0048-8046,1663-4446
G2,857,0221-6280,2102-5452
G2,861,,1916-4645
G2,874,0383-6320,1708-3923
G2,876,1189-4563,1710-0305
G2,879,,1708-6310
G2,886,0992-7158,1718-8598
G2,899,0776-5436,1918-9699
G2,925,0021-8103,1775-383X
G2,928,2070-3449,1996-4617
G2,934,0766-5075,3038-2424
G2,934,0150-3014,3038-2262
G2,934,2551-9603,2101-0013
G2,934,,2101-0013
G2,937,0769-4113,2273-9262
G2,951,1620-3224,2262-8363
G2,954,1375-4459,2673-8953
G2,955,1782-1592,2033-7485
G2,959,0035-2209,2118-4445
G2,961,1253-9708,2677-4224
G2,962,0294-0337,1777-5914
G2,965,0294-7080,2268-1558
G2,973,0755-7809,2104-3752
G2,974,1779-4684,2108-7083
G2,974,1638-2455,2547-393X
G2,974,0396-9045,2547-3921
G2,975,,1954-3670
G2,975,,1954-3670
G2,976,1664-1531,2235-2155
G2,990,1166-3030,2118-3147
G2,1009,0080-2557,2117-718X
G2,1021,2110-6460,2271-5649
G2,1023,1954-3859,2110-6045
